7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.14.0-1
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
antlr4-runtime 4.13.2-1
aom 3.11.0-1
appstream 1.0.4-1
arandr 0.1.11-4
archlinux-keyring 20241203-1
argon2 20190702-6
aribb24 1.0.3-4
aspell 0.60.8.1-2
aspnet-runtime 8.0.11.sdk111-1
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.2-3
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
awesome-terminal-fonts 1.1.0-5
aws-cli 1.36.29-1
azuredatastudio-bin 1.50.0-1
babl 0.1.110-1
base 3-2
bash 5.2.037-1
bat 0.25.0-2
binutils 2.43_1+r171+g01da089627be-1
bison 3.8.2-8
blas 3.12.0-5
blosc 1.21.6-1
bluez 5.79-1
bluez-utils 5.79-1
breeze-icons 6.9.0-1
bridge-utils 1.7.1-2
brotli 1.1.0-3
btop 1.4.0-4
btrfs-progs 6.12-2
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
clutter 1.26.4-3
clutter-gtk 1.8.4-4
code 1.96.2-1
cogl 1.22.8-3
composer 2.8.4-1
containerd 2.0.1-1
coreutils 9.5-2
cronie 1.7.2-1
crypto++ 8.9.0-1
cryptsetup 2.7.5-1
curl 8.11.1-3
cvt12-git 1:r17.6f66135-1
dav1d 1.5.0-1
db5.3 5.3.28-5
dbeaver 24.3.2-1
dbus 1.16.0-1
dbus-broker 36-4
dbus-broker-units 36-4
dconf 0.40.0-3
debtap 3.5.1-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.29-1
dialog 1:1.3_20240619-2
diffutils 3.10-1
discord 0.0.79-1
djvulibre 3.5.28-6
dkms 3.1.4-1
dmidecode 3.6-1
docker 1:27.3.1-1
docker-buildx 0.19.3-1
docker-compose 2.32.2-1
dosfstools 4.2-5
dotnet-host 8.0.11.sdk111-1
dotnet-runtime 8.0.11.sdk111-1
dotnet-sdk 8.0.11.sdk111-1
dotnet-targeting-pack 8.0.11.sdk111-1
double-conversion 3.3.0-2
downgrade 11.4.3-1
droidcam 1:2.1.3-2
duktape 2.7.0-7
e2fsprogs 1.47.2-1
eclipse-ecj 4.31-2
efibootmgr 18-3
efivar 39-1
electron32 32.2.8-1
enchant 2.8.2-1
exiv2 0.28.3-1
exo 4.20.0-2
expat 2.6.4-1
faad2 2.11.1-1
fakeroot 1.36.2-1
ffmpeg 2:7.1-5
ffmpeg4.4 4.4.5-2
ffmpegthumbnailer 2.2.3-3
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 134.0-1
flac 1.4.3-2
flameshot 12.1.0-5
flex 2.6.4-5
fontconfig 2:2.15.0-2
freeglut 3.6.0-1
freetds 1.4.24-1
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.57.0-1
gamemode 1.8.2-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-2
gcc-libs 14.2.1+r134+gab884fffe3fc-2
gcr 3.41.2-2
gcr-4 4.3.0-1
gdal 3.10.0-5
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
geeqie 2.5-1
gegl 0.4.52-1
geos 3.13.0-1
gettext 0.23.1-2
giflib 5.2.2-1
gimp 2.10.38-5
git 2.47.1-1
gitflow-avh 1.12.3-1
glib-networking 1:2.80.1-1
glib2 2.82.4-2
glibc 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 15.0.0-2
glu 9.0.3-2
gmp 6.3.0-2
gnome-desktop 1:44.1-1
